CGPA,Skills,Internship,Certifications,Aptitude,Projects,Placed
7.08,7,0,2,55,2,1
8.58,1,0,1,67,1,1
7.63,5,0,2,55,4,1
6.1,6,1,2,43,2,1
6.62,4,0,5,84,2,1
8.86,2,1,2,65,3,1
8.64,4,1,1,67,2,1
6.11,1,0,5,71,0,0
6.89,7,1,0,84,4,1
6.92,2,0,0,41,0,0
8.69,2,1,3,70,4,1
6.08,9,0,3,42,3,1
6.42,5,1,1,93,2,1
9.2,2,0,4,47,2,1
6.71,11,0,0,63,2,1
8.61,9,1,3,54,4,1
6.95,9,1,0,82,2,1
6.4,1,0,1,70,0,0
6.97,11,0,1,48,2,1
8.89,3,1,4,78,3,1
9.42,4,1,4,84,0,1
9.32,7,1,5,41,2,1
7.59,10,1,1,47,2,1
8.67,4,1,3,46,1,1
6.82,2,1,0,95,4,1
7.17,7,0,2,83,0,1
9.59,6,0,4,90,1,1
6.05,3,1,2,78,3,1
6.34,6,1,3,81,4,1
6.83,11,0,4,96,0,1
6.11,6,0,2,55,2,0
6.73,5,1,3,74,0,1
8.33,4,0,0,69,2,1
7.69,10,0,3,49,4,1
9.57,1,0,5,77,2,1
9.27,10,0,4,57,3,1
7.37,6,0,1,89,2,1
7.04,2,0,0,44,3,0
7.52,3,0,2,92,4,1
8.36,8,1,4,68,4,1
7.07,10,0,1,78,0,1
8.5,6,1,3,99,3,1
7.64,3,1,1,73,3,1
8.21,7,0,4,82,1,1
7.74,4,1,4,84,1,1
7.18,9,0,5,62,1,1
9.79,5,1,5,44,2,1
9.05,3,0,1,69,1,1
6.56,2,1,3,45,3,1
9.47,11,1,1,95,2,1
7.95,2,0,4,97,4,1
9.58,3,0,4,85,0,1
9.2,2,1,2,83,1,1
7.7,4,1,5,43,4,1
6.09,2,0,2,68,3,0
7.07,10,1,0,62,0,1
8.17,9,0,4,45,4,1
8.53,2,1,2,71,0,1
7.03,9,0,1,81,1,1
6.56,6,1,5,57,3,1
9.34,1,0,5,54,0,1
9.94,4,0,3,79,4,1
8.1,1,0,1,97,1,1
6.69,6,0,3,71,1,1
7.09,4,0,2,48,4,1
6.07,3,0,0,76,4,0
9.66,3,1,1,49,0,1
6.47,9,0,1,59,2,1
8.31,6,0,1,45,1,1
7.1,9,0,3,87,0,1
8.22,5,0,2,95,4,1
8.61,2,0,1,98,0,1
9.32,8,0,1,42,4,1
6.83,5,0,5,81,3,1
6.04,2,0,0,50,4,0
6.55,4,0,5,82,4,1
9.6,9,0,5,56,4,1
9.5,4,0,0,71,2,1
8.39,4,0,2,43,4,1
8.4,2,1,5,43,1,1
8.66,6,0,2,56,1,1
6.7,11,1,5,80,0,1
9.66,2,0,4,58,2,1
7.68,7,1,0,44,0,1
7.53,3,1,5,71,1,1
8.08,3,0,4,61,1,1
6.19,5,1,3,95,3,1
6.67,3,0,4,45,4,1
8.95,2,0,1,74,1,1
6.33,10,1,5,61,0,1
8.41,9,1,4,40,0,1
6.98,2,0,2,59,4,1
7.56,11,0,3,61,4,1
7.15,2,0,5,87,3,1
7.42,8,0,1,94,2,1
8.88,9,1,4,50,0,1
7.19,7,0,3,52,4,1
8.27,3,0,5,98,0,1
7.9,9,0,3,81,4,1
8.65,3,0,1,42,1,1
9.75,5,0,4,48,0,1
8.93,9,1,3,99,1,1
6.86,3,1,3,51,0,1
6.12,7,1,0,62,2,1
7.05,1,0,3,53,3,1
8.38,4,1,0,72,1,1
6.21,4,1,4,57,4,1
7.99,7,1,5,88,2,1
8.39,8,0,5,98,0,1
7.34,1,0,4,80,1,1
9.08,5,0,4,48,0,1
6.43,7,0,2,62,0,0
6.3,4,0,4,49,0,0
8.91,4,0,3,58,3,1
7.98,4,0,5,86,3,1
8.75,6,1,1,44,4,1
7.74,7,0,5,86,1,1
6.99,2,0,0,91,2,1
9.28,5,1,5,62,2,1
9.2,4,1,2,69,2,1
8.78,3,1,4,64,0,1
7.09,7,1,4,67,3,1
8.36,11,0,5,73,1,1
7.44,6,1,1,84,0,1
6.37,7,0,1,95,3,1
9.67,5,0,2,87,3,1
6.55,6,0,0,86,1,0
9.8,5,0,5,64,1,1
7.78,7,0,4,49,1,1
